10k cells:
7348, 0.518
962, 0.531
69, 0.692
3204, 0.538
2086, 0.521
484, 0.573
144, 0.587
62, 0.754
599, 0.564
249, 0.564
748, 0.554
1323, 0.571
2556, 0.537
166, 0.704
Average auc: 0.536


3k cells:
2236, 0.511
300, 0.600
25, 0.831
997, 0.534
634, 0.580
169, 0.527
41, 0.731
17, 0.653
165, 0.586
68, 0.847
230, 0.607
348, 0.661
734, 0.529
36, 0.894
Average auc: 0.553


1k cells:
740, 0.514
113, 0.548
8, 0.467
358, 0.554
175, 0.601
44, 0.567
12, 0.829
6, 0.600
71, 0.749
31, 0.729
88, 0.658
124, 0.532
219, 0.630
11, 0.893
Average auc: 0.568


1k cells:
740, 0.550
113, 0.632
8, 0.600
358, 0.595
175, 0.558
44, 0.735
12, 0.857
6, 0.000
71, 0.765
31, 0.846
88, 0.642
124, 0.603
219, 0.664
11, 0.571
Average auc: 0.6


1k cells (white box):
740, 0.547
113, 0.625
8, 0.467
358, 0.607
175, 0.602
44, 0.808
12, 0.800
6, 0.000
71, 0.869
31, 0.942
88, 0.591
124, 0.623
219, 0.682
11, 0.714
Average auc: 0.612


1k cells (white box):
712, 0.553
100, 0.530
9, 0.900
318, 0.617
215, 0.630
60, 0.588
14, 0.653
7, 1.000
57, 0.675
17, 1.000
79, 0.623
135, 0.662
256, 0.663
21, 0.755
Average auc: 0.609


1k cells (WB), g-g + all marginals:
712, 0.543
100, 0.620
9, 0.800
318, 0.604
215, 0.616
60, 0.636
14, 0.755
7, 1.000
57, 0.800
17, 0.931
79, 0.630
135, 0.626
256, 0.657
21, 0.791
Average auc: 0.608



1k cells (BB), g-g + all marginals:
712, 0.545
100, 0.604
9, 0.800
318, 0.604
215, 0.606
60, 0.574
14, 0.694
7, 1.000
57, 0.699
17, 0.931
79, 0.619
135, 0.635
256, 0.595
21, 0.755
Average auc: 0.594



1k cells (BB), g-g mahalanobis
712, 0.541
100, 0.667
9, 0.300
318, 0.616
215, 0.580
60, 0.444
14, 0.408
7, 0.700
57, 0.151
17, 0.111
79, 0.453
135, 0.579
256, 0.678
21, 0.373
Average auc: 0.559



1k cells (BB), g-g mahalanobis
740, 0.548
113, 0.628
8, 0.467
358, 0.642
175, 0.656
44, 0.440
12, 0.400
6, 0.400
71, 0.312
31, 0.117
88, 0.623
124, 0.572
219, 0.531
11, 0.036
Average auc: 0.56



1k cells (WB), g-g mahalanobis
740, 0.615
113, 0.608
8, 0.267
358, 0.827
175, 0.818
44, 0.206
12, 0.029
6, 0.200
71, 0.008
31, 0.008
88, 0.353
124, 0.583
219, 0.635
11, 0.000
Average auc: 0.609



3k cells (BB), g-g mahalanobis
2236, 0.527
300, 0.608
25, 0.474
997, 0.606
634, 0.604
169, 0.566
41, 0.072
17, 0.097
165, 0.650
68, 0.268
230, 0.662
348, 0.631
734, 0.691
36, 0.191
Average auc: 0.579



3k cells (BB), g-g mahalanobis
2236, 0.525
300, 0.610
25, 0.344
997, 0.617
634, 0.629
169, 0.586
41, 0.141
17, 0.167
165, 0.608
68, 0.288
230, 0.677
348, 0.625
734, 0.706
36, 0.225
Average auc: 0.584


3k cells (WB), g-g mahalanobis
2236, 0.592
300, 0.700
25, 0.195
997, 0.724
634, 0.646
169, 0.746
41, 0.003
17, 0.028
165, 0.159
68, 0.000
230, 0.585
348, 0.812
734, 0.838
36, 0.041
Average auc: 0.643


3k cells (WB), g-g + all marginals:
2236, 0.515
300, 0.635
25, 0.773
997, 0.542
634, 0.616
169, 0.559
41, 0.803
17, 0.639
165, 0.627
68, 0.787
230, 0.643
348, 0.646
734, 0.558
36, 0.847
Average auc: 0.567



3k cells (BB), g-g + all marginals:
2236, 0.527
300, 0.611
25, 0.818
997, 0.541
634, 0.605
169, 0.562
41, 0.790
17, 0.639
165, 0.628
68, 0.876
230, 0.594
348, 0.621
734, 0.558
36, 0.750
Average auc: 0.566


1k cells (BB), g-g + all marginals:
740, 0.561
113, 0.644
8, 0.800
358, 0.671
175, 0.595
44, 0.721
12, 0.943
0, 0
71, 0.797
31, 0.817
88, 0.586
124, 0.590
219, 0.640
11, 0.607
Average auc: 0.619



1k cells (BB), g-g mahalanobis
740, 0.546
113, 0.533
8, 0.467
358, 0.637
175, 0.679
44, 0.383
12, 0.086
10, 0
71, 0.275
31, 0.029
88, 0.492
124, 0.552
219, 0.531
11, 0.250
Average auc: 0.544



1k cells (WB), g-g + all marginals:
740, 0.577
113, 0.654
8, 0.800
358, 0.667
175, 0.604
44, 0.835
12, 0.857
10, 0
71, 0.883
31, 0.979
88, 0.622
124, 0.673
219, 0.719
11, 0.821
Average auc: 0.65



1k cells (WB), g-g mahalanobis:
740, 0.615
113, 0.608
8, 0.267
358, 0.827
175, 0.818
44, 0.206
12, 0.029
10, 0
71, 0.008
31, 0.008
88, 0.353
124, 0.583
219, 0.635
11, 0.000
Average auc: 0.611



50 donors (WB), g-g mahalanobis:
2000, 0.780
1981, 0.799
1431, 0.643
2000, 0.930
2000, 0.718
1855, 0.804
1453, 0.930
1069, 0.868
1831, 0.985
1803, 0.974
1951, 0.966
1965, 0.828
2000, 0.984
1515, 0.919
Average auc: 0.867


50 donors (WB), g-g mahalanobis:
100, 0.724
100, 0.808
100, 0.665
100, 0.940
100, 0.744
100, 0.797
100, 0.931
78, 0.897
100, 0.970
100, 0.980
100, 0.956
100, 0.824
100, 0.986
100, 0.903
Average auc: 0.866



50 donors (BB), g-g + all marginals:
100, 0.583
100, 0.693
100, 0.663
100, 0.661
100, 0.602
100, 0.547
100, 0.614
78, 0.733
100, 0.580
100, 0.661
100, 0.706
100, 0.630
100, 0.740
100, 0.617
Average auc: 0.644


200 donors (BB), g-g + all marginals:
400, 0.531
400, 0.571
294, 0.591
400, 0.512
400, 0.559
400, 0.560
400, 0.536
252, 0.601
400, 0.578
400, 0.572
400, 0.521
400, 0.544
400, 0.558
400, 0.587
Average auc: 0.557


200 donors (WB), g-g + all marginals:
400, 0.540
400, 0.586
294, 0.577
400, 0.550
400, 0.537
400, 0.500
400, 0.536
252, 0.632
400, 0.551
400, 0.589
400, 0.512
400, 0.570
400, 0.566
400, 0.589
Average auc: 0.557


10k cells (WB), g-g mahalanobis:
7348, 0.549
962, 0.622
69, 0.860
3204, 0.625
2086, 0.594
484, 0.733
144, 0.305
62, 0.015
599, 0.868
249, 0.596
748, 0.806
1323, 0.693
2556, 0.747
166, 0.568
Average auc: 0.626



200 donors (WB), g-g mahalanobis:
400, 0.679
400, 0.672
294, 0.734
400, 0.808
400, 0.623
400, 0.708
400, 0.890
252, 0.849
400, 0.894
400, 0.891
400, 0.654
400, 0.733
400, 0.886
400, 0.764
Average auc: 0.769



10k cells (WB), g-g + all marginals:
7348, 0.514
962, 0.540
69, 0.723
3204, 0.541
2086, 0.528
484, 0.615
144, 0.725
62, 0.896
599, 0.582
249, 0.682
748, 0.547
1323, 0.555
2556, 0.541
166, 0.769
Average auc: 0.541



100 donors (WB), g-g mahalanobis:
200, 0.487
200, 0.555
200, 0.624
200, 0.580
200, 0.482
200, 0.667
200, 0.886
200, 0.879
200, 0.716
200, 0.812
200, 0.614
